0,1,2,3,4,5,columns,values
143,3,244,12,0.0,0.0,911,3316.0
143,3,54,13,0.0,0.0,911,3382.0
143,3,121,13,0.0,0.0,911,3449.0
143,3,190,13,0.0,0.0,911,3518.0
143,3,224,13,0.0,0.0,911,3552.0
143,3,39,14,0.0,0.0,911,3623.0
143,3,110,14,0.0,0.0,911,3694.0
143,3,183,14,0.0,0.0,911,3767.0
143,3,2,15,0.0,0.0,911,3842.0
143,3,39,15,0.0,0.0,911,3879.0
143,3,116,15,0.0,0.0,911,3956.0
143,3,194,15,0.0,0.0,911,4034.0
143,3,17,16,0.0,0.0,911,4113.0
143,3,97,16,0.0,0.0,911,4193.0
143,3,180,16,0.0,0.0,911,4276.0
143,3,7,17,0.0,0.0,911,4359.0
143,3,50,17,0.0,0.0,911,4402.0
143,3,135,17,0.0,0.0,911,4487.0
143,3,223,17,0.0,0.0,911,4575.0
143,3,56,18,0.0,0.0,911,4664.0
143,3,146,18,0.0,0.0,911,4754.0
143,3,239,18,0.0,0.0,911,4847.0
143,3,29,19,0.0,0.0,911,4893.0
143,3,124,19,0.0,0.0,911,4988.0
143,3,220,19,0.0,0.0,911,5084.0
143,3,63,20,0.0,0.0,911,5183.0
143,3,162,20,0.0,0.0,911,5282.0
143,3,8,21,0.0,0.0,911,5384.0
143,3,112,21,0.0,0.0,911,5488.0
143,3,164,21,0.0,0.0,911,5540.0
143,3,14,22,0.0,0.0,911,5646.0
143,3,122,22,0.0,0.0,911,5754.0
143,3,232,22,0.0,0.0,911,5864.0
143,3,88,23,0.0,0.0,911,5976.0
143,3,145,23,0.0,0.0,911,6033.0
143,3,4,24,0.0,0.0,911,6148.0
143,3,121,24,0.0,0.0,911,6265.0
143,3,239,24,0.0,0.0,911,6383.0
143,3,104,25,0.0,0.0,911,6504.0
143,3,228,25,0.0,0.0,911,6628.0
143,3,97,26,0.0,0.0,911,6753.0
143,3,160,26,0.0,0.0,911,6816.0
143,3,33,27,0.0,0.0,911,6945.0
143,3,164,27,0.0,0.0,911,7076.0
143,3,41,28,0.0,0.0,911,7209.0
143,3,176,28,0.0,0.0,911,7344.0
143,3,58,29,0.0,0.0,911,7482.0
143,3,127,29,0.0,0.0,911,7551.0
143,3,12,30,0.0,0.0,911,7692.0
143,3,156,30,0.0,0.0,911,7836.0
143,3,46,31,0.0,0.0,911,7982.0
143,3,195,31,0.0,0.0,911,8131.0
143,3,90,32,0.0,0.0,911,8282.0
143,3,244,32,0.0,0.0,911,8436.0
143,3,65,33,0.0,0.0,911,8513.0
143,3,223,33,0.0,0.0,911,8671.0
143,3,127,34,0.0,0.0,911,8831.0
143,3,34,35,0.0,0.0,911,8994.0
143,3,200,35,0.0,0.0,911,9160.0
143,3,28,36,0.0,0.0,911,9244.0
143,3,198,36,0.0,0.0,911,9414.0
143,3,115,37,0.0,0.0,911,9587.0
143,3,35,38,0.0,0.0,911,9763.0
143,3,213,38,0.0,0.0,911,9941.0
143,3,139,39,0.0,0.0,911,10123.0
143,3,68,40,0.0,0.0,911,10308.0
143,3,0,41,0.0,0.0,911,10496.0
143,3,95,41,0.0,0.0,911,10591.0
143,3,31,42,0.0,0.0,911,10783.0
143,3,227,42,0.0,0.0,911,10979.0
143,3,170,43,0.0,0.0,911,11178.0
143,3,116,44,0.0,0.0,911,11380.0
143,3,218,44,0.0,0.0,911,11482.0
143,3,170,45,0.0,0.0,911,11690.0
143,3,124,46,0.0,0.0,911,11900.0
143,3,82,47,0.0,0.0,911,12114.0
143,3,44,48,0.0,0.0,911,12332.0
143,3,9,49,0.0,0.0,911,12553.0
143,3,234,49,0.0,0.0,911,12778.0
143,3,92,50,0.0,0.0,911,12892.0
143,3,66,51,0.0,0.0,911,13122.0
143,3,44,52,0.0,0.0,911,13356.0
143,3,26,53,0.0,0.0,911,13594.0
143,3,11,54,0.0,0.0,911,13835.0
143,3,1,55,0.0,0.0,911,14081.0
143,3,125,55,0.0,0.0,911,14205.0
143,3,121,56,0.0,0.0,911,14457.0
143,3,120,57,0.0,0.0,911,14712.0
143,3,124,58,0.0,0.0,911,14972.0
143,3,132,59,0.0,0.0,911,15236.0
143,3,144,60,0.0,0.0,911,15504.0
143,3,160,61,0.0,0.0,911,15776.0
143,3,42,62,0.0,0.0,911,15914.0
143,3,65,63,0.0,0.0,911,16193.0
143,3,92,64,0.0,0.0,911,16476.0
143,3,124,65,0.0,0.0,911,16764.0
