0,1,2,3,4,5
143,3,244,12,0.0,0.0
143,3,54,13,0.0,0.0
143,3,121,13,0.0,0.0
143,3,190,13,0.0,0.0
143,3,224,13,0.0,0.0
143,3,39,14,0.0,0.0
143,3,110,14,0.0,0.0
143,3,183,14,0.0,0.0
143,3,2,15,0.0,0.0
143,3,39,15,0.0,0.0
143,3,116,15,0.0,0.0
143,3,194,15,0.0,0.0
143,3,17,16,0.0,0.0
143,3,97,16,0.0,0.0
143,3,180,16,0.0,0.0
143,3,7,17,0.0,0.0
143,3,50,17,0.0,0.0
143,3,135,17,0.0,0.0
143,3,223,17,0.0,0.0
143,3,56,18,0.0,0.0
143,3,146,18,0.0,0.0
143,3,239,18,0.0,0.0
143,3,29,19,0.0,0.0
143,3,124,19,0.0,0.0
143,3,220,19,0.0,0.0
143,3,63,20,0.0,0.0
143,3,162,20,0.0,0.0
143,3,8,21,0.0,0.0
143,3,112,21,0.0,0.0
143,3,164,21,0.0,0.0
143,3,14,22,0.0,0.0
143,3,122,22,0.0,0.0
143,3,232,22,0.0,0.0
143,3,88,23,0.0,0.0
143,3,145,23,0.0,0.0
143,3,4,24,0.0,0.0
143,3,121,24,0.0,0.0
143,3,239,24,0.0,0.0
143,3,104,25,0.0,0.0
143,3,228,25,0.0,0.0
143,3,97,26,0.0,0.0
143,3,160,26,0.0,0.0
143,3,33,27,0.0,0.0
143,3,164,27,0.0,0.0
143,3,41,28,0.0,0.0
143,3,176,28,0.0,0.0
143,3,58,29,0.0,0.0
143,3,127,29,0.0,0.0
143,3,12,30,0.0,0.0
143,3,156,30,0.0,0.0
143,3,46,31,0.0,0.0
143,3,195,31,0.0,0.0
143,3,90,32,0.0,0.0
143,3,244,32,0.0,0.0
143,3,65,33,0.0,0.0
143,3,223,33,0.0,0.0
143,3,127,34,0.0,0.0
143,3,34,35,0.0,0.0
143,3,200,35,0.0,0.0
143,3,28,36,0.0,0.0
143,3,198,36,0.0,0.0
143,3,115,37,0.0,0.0
143,3,35,38,0.0,0.0
143,3,213,38,0.0,0.0
143,3,139,39,0.0,0.0
143,3,68,40,0.0,0.0
143,3,0,41,0.0,0.0
143,3,95,41,0.0,0.0
143,3,31,42,0.0,0.0
143,3,227,42,0.0,0.0
143,3,170,43,0.0,0.0
143,3,116,44,0.0,0.0
143,3,218,44,0.0,0.0
143,3,170,45,0.0,0.0
143,3,124,46,0.0,0.0
143,3,82,47,0.0,0.0
143,3,44,48,0.0,0.0
143,3,9,49,0.0,0.0
143,3,234,49,0.0,0.0
143,3,92,50,0.0,0.0
143,3,66,51,0.0,0.0
143,3,44,52,0.0,0.0
143,3,26,53,0.0,0.0
143,3,11,54,0.0,0.0
143,3,1,55,0.0,0.0
143,3,125,55,0.0,0.0
143,3,121,56,0.0,0.0
143,3,120,57,0.0,0.0
143,3,124,58,0.0,0.0
143,3,132,59,0.0,0.0
143,3,144,60,0.0,0.0
143,3,160,61,0.0,0.0
143,3,42,62,0.0,0.0
143,3,65,63,0.0,0.0
143,3,92,64,0.0,0.0
143,3,124,65,0.0,0.0
143,3,160,66,0.0,0.0
143,3,52,67,0.0,0.0
143,3,96,68,0.0,0.0
143,3,144,69,0.0,0.0
143,3,196,70,0.0,0.0
143,3,254,71,0.0,0.0
143,3,61,73,0.0,0.0
143,3,128,74,0.0,0.0
143,3,36,75,0.0,0.0
143,3,111,76,0.0,0.0
143,3,191,77,0.0,0.0
143,3,20,79,0.0,0.0
143,3,111,80,0.0,0.0
143,3,207,81,0.0,0.0
143,3,129,82,0.0,0.0
143,3,234,83,0.0,0.0
143,3,87,85,0.0,0.0
143,3,203,86,0.0,0.0
143,3,68,88,0.0,0.0
143,3,195,89,0.0,0.0
143,3,71,91,0.0,0.0
143,3,12,92,0.0,0.0
143,3,153,93,0.0,0.0
143,3,45,95,0.0,0.0
143,3,199,96,0.0,0.0
143,3,103,98,0.0,0.0
143,3,57,99,0.0,0.0
143,3,226,100,0.0,0.0
143,3,146,102,0.0,0.0
143,3,72,104,0.0,0.0
143,3,5,106,0.0,0.0
143,3,200,107,0.0,0.0
143,3,146,109,0.0,0.0
143,3,99,111,0.0,0.0
143,3,78,112,0.0,0.0
143,3,42,114,0.0,0.0
143,3,12,116,0.0,0.0
143,3,246,117,0.0,0.0
143,3,230,119,0.0,0.0
143,3,225,120,0.0,0.0
143,3,221,122,0.0,0.0
143,3,224,124,0.0,0.0
143,3,235,126,0.0,0.0
143,3,253,128,0.0,0.0
143,3,23,131,0.0,0.0
143,3,57,133,0.0,0.0
143,3,77,134,0.0,0.0
143,3,122,136,0.0,0.0
143,3,176,138,0.0,0.0
143,3,238,140,0.0,0.0
143,3,52,143,0.0,0.0
143,3,131,145,0.0,0.0
143,3,173,146,0.0,0.0
143,3,8,149,0.0,0.0
143,3,108,151,0.0,0.0
143,3,217,153,0.0,0.0
143,3,78,156,0.0,0.0
143,3,204,158,0.0,0.0
143,3,84,161,0.0,0.0
143,3,155,162,0.0,0.0
143,3,48,165,0.0,0.0
143,3,206,167,0.0,0.0
143,3,118,170,0.0,0.0
143,3,40,173,0.0,0.0
143,3,132,174,0.0,0.0
143,3,68,177,0.0,0.0
143,3,13,180,0.0,0.0
143,3,225,182,0.0,0.0
143,3,190,185,0.0,0.0
143,3,166,188,0.0,0.0
143,3,152,191,0.0,0.0
143,3,21,193,0.0,0.0
143,3,23,196,0.0,0.0
143,3,35,199,0.0,0.0
143,3,58,202,0.0,0.0
143,3,92,205,0.0,0.0
143,3,136,208,0.0,0.0
143,3,192,211,0.0,0.0
143,3,96,213,0.0,0.0
143,3,168,216,0.0,0.0
143,3,252,219,0.0,0.0
143,3,92,223,0.0,0.0
143,3,199,226,0.0,0.0
143,3,61,230,0.0,0.0
143,3,253,231,0.0,0.0
143,3,134,235,0.0,0.0
143,3,26,239,0.0,0.0
143,3,187,242,0.0,0.0
143,3,104,246,0.0,0.0
143,3,68,248,0.0,0.0
143,3,4,252,0.0,0.0
143,3,208,255,0.0,0.0
143,3,170,3,1.0,0.0
143,3,144,7,1.0,0.0
143,3,132,11,1.0,0.0
143,3,132,15,1.0,0.0
143,3,146,19,1.0,0.0
143,3,158,21,1.0,0.0
143,3,193,25,1.0,0.0
143,3,241,29,1.0,0.0
143,3,47,34,1.0,0.0
143,3,123,38,1.0,0.0
143,3,213,42,1.0,0.0
143,3,8,45,1.0,0.0
143,3,119,49,1.0,0.0
143,3,245,53,1.0,0.0
143,3,130,58,1.0,0.0
143,3,30,63,1.0,0.0
143,3,201,67,1.0,0.0
143,3,36,70,1.0,0.0
143,3,229,74,1.0,0.0
47,1,1,0,0.0,0.0
143,3,182,79,1.0,0.0
47,1,1,0,0.0,0.0
143,3,150,84,1.0,0.0
47,1,1,0,0.0,0.0
143,3,134,89,1.0,0.0
47,1,1,0,0.0,0.0
143,3,134,94,1.0,0.0
47,1,1,0,0.0,0.0
143,3,12,97,1.0,0.0
47,1,1,0,0.0,0.0
143,3,36,102,1.0,0.0
47,1,1,0,0.0,0.0
143,3,76,107,1.0,0.0
47,1,1,0,0.0,0.0
143,3,132,112,1.0,0.0
47,1,1,0,0.0,0.0
143,3,205,117,1.0,0.0
47,1,1,0,0.0,0.0
143,3,39,123,1.0,0.0
47,1,1,0,0.0,0.0
143,3,146,128,1.0,0.0
47,1,1,0,0.0,0.0
143,3,77,131,1.0,0.0
47,1,1,0,0.0,0.0
143,3,209,136,1.0,0.0
47,1,1,0,0.0,0.0
143,3,103,142,1.0,0.0
47,1,1,0,0.0,0.0
143,3,14,148,1.0,0.0
47,1,1,0,0.0,0.0
143,3,198,153,1.0,0.0
47,1,1,0,0.0,0.0
143,3,144,159,1.0,0.0
47,1,1,0,0.0,0.0
143,3,124,162,1.0,0.0
47,1,1,0,0.0,0.0
143,3,97,168,1.0,0.0
47,1,1,0,0.0,0.0
143,3,89,174,1.0,0.0
47,1,1,0,0.0,0.0
143,3,99,180,1.0,0.0
47,1,1,0,0.0,0.0
143,3,127,186,1.0,0.0
47,1,1,0,0.0,0.0
143,3,174,192,1.0,0.0
47,1,1,0,0.0,0.0
143,3,205,195,1.0,0.0
